Date,Close/Last,Volume,Open,High,Low
04/28/2025,$1110.38,3831088,$1100.00,$1114.00,$1082.62
04/25/2025,$1101.53,3950008,$1097.04,$1106.7984,$1091.0001
04/24/2025,$1096.87,6381896,$1048.00,$1101.00,$1047.02
04/23/2025,$1049.59,6471876,$1047.225,$1061.25,$1032.0001
04/22/2025,$1040.34,9368873,$1005.30,$1064.97,$1004.52
04/21/2025,$987.91,9775747,$984.40,$1018.9999,$973.05
04/17/2025,$973.03,8893735,$969.00,$984.7015,$956.00
04/16/2025,$961.63,6066113,$976.28,$981.21,$949.165
04/15/2025,$976.28,7711982,$950.00,$993.4499,$948.00
04/14/2025,$931.28,4035895,$932.70,$948.98,$919.4979
04/11/2025,$918.29,4073638,$920.00,$944.8599,$906.68
04/10/2025,$921.17,5129755,$931.94,$941.235,$894.00
04/09/2025,$945.47,7497974,$855.93,$951.43,$854.40
04/08/2025,$870.40,5625382,$912.44,$922.42,$857.70
04/07/2025,$867.83,6656823,$827.845,$906.74,$821.10
04/04/2025,$855.86,6798806,$896.50,$906.6282,$853.87
04/03/2025,$917.05,5864622,$901.80,$946.5919,$900.47
04/02/2025,$935.52,3256886,$923.00,$949.5479,$916.11
04/01/2025,$928.38,3519956,$927.50,$932.29,$911.50
03/31/2025,$932.53,4634075,$920.53,$934.48,$900.59
