Date,Close/Last,Volume,Open,High,Low
04/28/2025,$83.90,7091355,$84.33,$85.055,$83.27
04/25/2025,$83.81,5799429,$83.63,$83.99,$82.46
04/24/2025,$83.86,6798096,$82.39,$84.14,$81.58
04/23/2025,$82.81,9114434,$84.00,$85.74,$82.65
04/22/2025,$81.75,10408580,$81.91,$83.49,$81.62
04/21/2025,$80.68,10595620,$80.36,$80.82,$78.13
04/17/2025,$81.50,9787506,$81.25,$82.55,$81.20
04/16/2025,$80.76,13080850,$83.30,$83.52,$79.89
04/15/2025,$83.71,7088577,$85.50,$86.055,$83.46
04/14/2025,$85.49,8880494,$86.32,$86.77,$83.40
04/11/2025,$85.43,10059730,$84.43,$85.82,$82.08
04/10/2025,$84.60,16209250,$86.11,$86.58,$81.67
04/09/2025,$88.68,26668100,$79.225,$89.13,$77.925
04/08/2025,$79.69,20534590,$83.07,$83.48,$78.69
04/07/2025,$80.00,26099350,$78.626,$83.27,$76.15
04/04/2025,$82.10,19700140,$84.66,$85.43,$81.30
04/03/2025,$88.26,20490060,$93.35,$93.39,$87.65
04/02/2025,$99.41,6043292,$97.41,$99.75,$97.41
04/01/2025,$98.23,5868429,$97.85,$98.90,$97.125
03/31/2025,$98.09,11302850,$96.62,$98.815,$94.58
